country,Country Name,Population,Land Area,No. Fire Stations,Fire Stations per 100k Population
Switzerland,Switzerland,8691406,39509.63,577, 6.639 
Austria,Austria,8922082,82520,3512, 39.363 
Portugal,Portugal,10290103,91605.6,455, 4.422 
Luxembourg,Luxembourg,639321,2574.46,87, 13.608 
Estonia,Estonia,1328701,42750,61, 4.591 
France,France,64531444,547557,4675, 7.245 
Serbia,Serbia,7296769,84090,4, 0.055 
Malta,Malta,526748,320,3, 0.570 
Finland,Finland,5535992,303947.7,545, 9.845 
Lithuania,Lithuania,2786651,62610,80, 2.871 
Slovenia,Slovenia,2119410,20136.4,1108, 52.279 
Ireland,Ireland,4986526,68890,63, 1.263 
Italy,Italy,59240329,295717,1986, 3.352 
San Marino,San Marino,33745,60,0, -   
Latvia,Latvia,1873919,62230,48, 2.561 
Poland,Poland,38307726,306100,3880, 10.129 
Bulgaria,Bulgaria,6885868,108560,37, 0.537 
U.K. of Great Britain and Northern Ireland,United Kingdom,67281039,241930,3099, 4.606 
Greece,Greece,10445365,128900,32, 0.306 
Liechtenstein,Liechtenstein,39039,160,7, 17.931 
Monaco,Monaco,36686,2.084,1, 2.726 
Ukraine,Ukraine,43531422,579400,92, 0.211 
Germany,Germany,83408554,349390,26062, 31.246 
Bosnia & Herzegovina,Bosnia and Herzegovina,3270943,51200,39, 1.192 
Montenegro,Montenegro,627859,13450,0, -   
Croatia,Croatia,4060135,55960,449, 11.059 
Iceland,Iceland,370335,100830,9, 2.430 
"Moldova, Republic of",Republic of Moldova,3061506,32970,6, 0.196 
Andorra,Andorra,79034,470,1, 1.265 
The former Yugoslav Republic of Macedonia,North Macedonia,2103330,25220,3, 0.143 
Hungary,Hungary,9709786,91260,234, 2.410 
Spain,Spain,47486935,499733.244,801, 1.687 
Sweden,Sweden,10467097,407283.54,247, 2.360 
Romania,Romania,19328560,230080,143, 0.740 
Belarus,Belarus,9578167,202950,17, 0.177 
Czech Republic,Czechia,10510751,77186.83,1078, 10.256 
Norway,Norway,5403021,364270,128, 2.369 
Denmark,Denmark,5854240,40000,209, 3.570 
Belgium,Belgium,11611419,30280,394, 3.393 
Netherlands,Netherlands,17501696,33670,1191, 6.805 
Slovakia,Slovakia,5447622,48080,177, 3.249 
Albania,Albania,2854710,27400,0, -   
